40k,80k,120k,160k,200k,240k,280k,320k,360k,400k,440k,480k,520k,560k,600k,640k,680k,720k,760k,800k,840k,880k,920k,960k,1000k
210.0,300.0,960.0,1270.0,180.0,230.0,310.0,190.0,70.0,290.0,60.0,70.0,270.0,310.0,420.0,110.0,310.0,220.0,120.0,360.0,1290.0,680.0,380.0,320.0,170.0
210.0,230.0,1830.0,430.0,180.0,230.0,310.0,370.0,60.0,3350.0,60.0,70.0,270.0,210.0,360.0,700.0,560.0,260.0,120.0,520.0,440.0,790.0,750.0,640.0,180.0
210.0,380.0,500.0,770.0,180.0,230.0,310.0,220.0,70.0,290.0,60.0,70.0,140.0,210.0,290.0,150.0,300.0,280.0,120.0,740.0,510.0,610.0,610.0,440.0,140.0
210.0,310.0,560.0,1270.0,570.0,230.0,310.0,260.0,70.0,290.0,60.0,70.0,310.0,210.0,210.0,120.0,380.0,300.0,120.0,530.0,130.0,1590.0,1150.0,310.0,120.0
190.0,300.0,1100.0,320.0,200.0,270.0,310.0,490.0,60.0,290.0,60.0,120.0,270.0,210.0,360.0,210.0,150.0,290.0,390.0,260.0,130.0,700.0,580.0,670.0,210.0
140.0,300.0,980.0,280.0,180.0,270.0,240.0,270.0,60.0,290.0,60.0,70.0,300.0,210.0,310.0,220.0,260.0,380.0,120.0,330.0,700.0,640.0,650.0,770.0,870.0
140.0,300.0,620.0,330.0,180.0,270.0,310.0,480.0,60.0,290.0,60.0,110.0,270.0,210.0,220.0,110.0,170.0,380.0,120.0,370.0,540.0,430.0,240.0,280.0,120.0
210.0,230.0,280.0,610.0,180.0,230.0,310.0,250.0,60.0,290.0,60.0,190.0,310.0,210.0,370.0,220.0,660.0,220.0,120.0,510.0,520.0,430.0,560.0,300.0,160.0
210.0,230.0,1090.0,280.0,180.0,270.0,310.0,990.0,60.0,290.0,60.0,200.0,300.0,210.0,600.0,240.0,310.0,150.0,120.0,1340.0,310.0,870.0,600.0,670.0,510.0
210.0,300.0,430.0,270.0,180.0,230.0,310.0,610.0,60.0,290.0,60.0,70.0,280.0,210.0,680.0,110.0,320.0,580.0,120.0,680.0,320.0,2290.0,580.0,290.0,510.0
140.0,380.0,310.0,330.0,180.0,270.0,310.0,520.0,60.0,290.0,60.0,110.0,270.0,210.0,230.0,330.0,270.0,470.0,120.0,460.0,310.0,770.0,560.0,370.0,150.0
190.0,100.0,1480.0,330.0,270.0,230.0,310.0,2360.0,60.0,290.0,60.0,70.0,310.0,210.0,90.0,110.0,430.0,230.0,390.0,1360.0,130.0,590.0,560.0,600.0,160.0
